CountyFIPS,County,Cancer Type,Incidence
17097,Lake,kidney_cancer,129.0
17099,La Salle,kidney_cancer,36.0
17101,Lawrence,kidney_cancer,4.0
17103,Lee,kidney_cancer,10.0
17105,Livingston,kidney_cancer,13.0
17107,Logan,kidney_cancer,9.0
17109,McDonough,kidney_cancer,6.0
17111,McHenry,kidney_cancer,63.0
17113,McLean,kidney_cancer,30.0
17115,Macon,kidney_cancer,38.0
17117,Macoupin,kidney_cancer,21.0
17119,Madison,kidney_cancer,85.0
17121,Marion,kidney_cancer,10.0
17123,Marshall,kidney_cancer,
17125,Mason,kidney_cancer,4.0
17127,Massac,kidney_cancer,
17129,Menard,kidney_cancer,4.0
17131,Mercer,kidney_cancer,
17133,Monroe,kidney_cancer,9.0
17135,Montgomery,kidney_cancer,12.0
17137,Morgan,kidney_cancer,11.0
17139,Moultrie,kidney_cancer,6.0
17141,Ogle,kidney_cancer,16.0
17143,Peoria,kidney_cancer,52.0
17145,Perry,kidney_cancer,8.0
17147,Piatt,kidney_cancer,5.0
17149,Pike,kidney_cancer,5.0
17151,Pope,kidney_cancer,
17153,Pulaski,kidney_cancer,
17155,Putnam,kidney_cancer,
17157,Randolph,kidney_cancer,10.0
17159,Richland,kidney_cancer,5.0
17161,Rock Island,kidney_cancer,40.0
17163,St. Clair,kidney_cancer,77.0
17165,Saline,kidney_cancer,6.0
17167,Sangamon,kidney_cancer,67.0
17169,Schuyler,kidney_cancer,
17171,Scott,kidney_cancer,
17173,Shelby,kidney_cancer,9.0
17175,Stark,kidney_cancer,
17177,Stephenson,kidney_cancer,11.0
17179,Tazewell,kidney_cancer,41.0
17181,Union,kidney_cancer,7.0
17183,Vermilion,kidney_cancer,21.0
17185,Wabash,kidney_cancer,4.0
17187,Warren,kidney_cancer,6.0
17189,Washington,kidney_cancer,6.0
17191,Wayne,kidney_cancer,5.0
17193,White,kidney_cancer,4.0
17195,Whiteside,kidney_cancer,15.0
17197,Will,kidney_cancer,133.0
17199,Williamson,kidney_cancer,22.0
17201,Winnebago,kidney_cancer,72.0
17203,Woodford,kidney_cancer,11.0
17001,Adams,bladder_cancer,23.0
17003,Alexander,bladder_cancer,
17005,Bond,bladder_cancer,5.0
17007,Boone,bladder_cancer,12.0
17009,Brown,bladder_cancer,
17011,Bureau,bladder_cancer,9.0
17013,Calhoun,bladder_cancer,
17015,Carroll,bladder_cancer,6.0
17017,Cass,bladder_cancer,4.0
17019,Champaign,bladder_cancer,37.0
17021,Christian,bladder_cancer,12.0
17023,Clark,bladder_cancer,6.0
17025,Clay,bladder_cancer,4.0
17027,Clinton,bladder_cancer,11.0
17029,Coles,bladder_cancer,12.0
17031,Cook,bladder_cancer,
17033,Crawford,bladder_cancer,5.0
17035,Cumberland,bladder_cancer,
17037,DeKalb,bladder_cancer,23.0
17039,De Witt,bladder_cancer,6.0
17041,Douglas,bladder_cancer,5.0
17043,DuPage,bladder_cancer,234.0
17045,Edgar,bladder_cancer,8.0
17047,Edwards,bladder_cancer,
17049,Effingham,bladder_cancer,11.0
17051,Fayette,bladder_cancer,6.0
17053,Ford,bladder_cancer,4.0
17055,Franklin,bladder_cancer,15.0
17057,Fulton,bladder_cancer,14.0
17059,Gallatin,bladder_cancer,
17061,Greene,bladder_cancer,4.0
17063,Grundy,bladder_cancer,13.0
17065,Hamilton,bladder_cancer,
17067,Hancock,bladder_cancer,7.0
17069,Hardin,bladder_cancer,
17071,Henderson,bladder_cancer,
17073,Henry,bladder_cancer,14.0
17075,Iroquois,bladder_cancer,8.0
17077,Jackson,bladder_cancer,16.0
17079,Jasper,bladder_cancer,
17081,Jefferson,bladder_cancer,14.0
17083,Jersey,bladder_cancer,6.0
17085,Jo Daviess,bladder_cancer,11.0
17087,Johnson,bladder_cancer,5.0
17089,Kane,bladder_cancer,114.0
17091,Kankakee,bladder_cancer,37.0
17093,Kendall,bladder_cancer,29.0
17095,Knox,bladder_cancer,18.0
17097,Lake,bladder_cancer,164.0
17099,La Salle,bladder_cancer,39.0
17101,Lawrence,bladder_cancer,4.0
17103,Lee,bladder_cancer,11.0
17105,Livingston,bladder_cancer,12.0
17107,Logan,bladder_cancer,10.0
17109,McDonough,bladder_cancer,7.0
17111,McHenry,bladder_cancer,75.0
17113,McLean,bladder_cancer,38.0
17115,Macon,bladder_cancer,41.0
17117,Macoupin,bladder_cancer,17.0
17119,Madison,bladder_cancer,77.0
17121,Marion,bladder_cancer,13.0
17123,Marshall,bladder_cancer,
17125,Mason,bladder_cancer,5.0
17127,Massac,bladder_cancer,4.0
17129,Menard,bladder_cancer,5.0
17131,Mercer,bladder_cancer,6.0
17133,Monroe,bladder_cancer,8.0
17135,Montgomery,bladder_cancer,10.0
17137,Morgan,bladder_cancer,12.0
17139,Moultrie,bladder_cancer,5.0
17141,Ogle,bladder_cancer,14.0
17143,Peoria,bladder_cancer,45.0
17145,Perry,bladder_cancer,8.0
17147,Piatt,bladder_cancer,4.0
17149,Pike,bladder_cancer,4.0
17151,Pope,bladder_cancer,
17153,Pulaski,bladder_cancer,
17155,Putnam,bladder_cancer,
17157,Randolph,bladder_cancer,7.0
17159,Richland,bladder_cancer,
17161,Rock Island,bladder_cancer,39.0
17163,St. Clair,bladder_cancer,65.0
17165,Saline,bladder_cancer,8.0
17167,Sangamon,bladder_cancer,57.0
17169,Schuyler,bladder_cancer,
17171,Scott,bladder_cancer,
17173,Shelby,bladder_cancer,7.0
17175,Stark,bladder_cancer,
17177,Stephenson,bladder_cancer,12.0
17179,Tazewell,bladder_cancer,43.0
17181,Union,bladder_cancer,8.0
17183,Vermilion,bladder_cancer,26.0
17185,Wabash,bladder_cancer,
17187,Warren,bladder_cancer,5.0
17189,Washington,bladder_cancer,4.0
17191,Wayne,bladder_cancer,5.0
17193,White,bladder_cancer,7.0
17195,Whiteside,bladder_cancer,24.0
17197,Will,bladder_cancer,162.0
17199,Williamson,bladder_cancer,21.0
17201,Winnebago,bladder_cancer,76.0
17203,Woodford,bladder_cancer,11.0
